Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
They Bleed Pixels,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,71.0,0MB,77.5,2.0,2.63,55.0,71.0,384.0,700.0,9.5,2.0,4.5,33.599999999999994
Overboard!,Windows XP 64-bit,Windows XP 64-bit,DirectX 9,1 GB,32.5,1 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
NoseBound,Windows 7 64-bit,Windows 10 64-bit,DirectX 9,4 GB,36.5,4 GB,55.0,2.0,3.55,18.0,36.5,768.0,950.0,10.5,7.5,18.5,60.8
blackguards 2,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,12 GB,70.5,12 GB,65.0,2.0,3.0,48.5,70.5,256.0,700.0,10.0,3.5,7.5,22.4
Warhammer: The End Times - Vermintide,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,20 GB,36.5,30 GB,45.0,4.0,4.15,11.0,36.5,1024.0,1050.0,11.5,18.0,36.0,96.0
S.T.A.L.K.E.R : Lost,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
War of the Roses: Kingmaker,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,5 GB,35.0,5 GB,65.0,2.0,2.215,65.0,35.0,512.0,900.0,10.05,9.5,26.0,57.6
Legend of Mana,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,15 GB,69.5,15 GB,33.5,2.5,2.9,38.5,69.5,2048.0,1012.5,12.0,11.5,24.5,50.4
Valheim,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,1 GB,0.0,1 GB,55.0,4.0,3.1,14.0,0.0,2560.0,1514.0,11.6,34.0,87.5,184.9
The Colonists,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,2 GB,32.5,2 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Planet Coaster - Quick Draw Interactive Shooting Ride,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,8 GB,36.5,8 GB,32.0,4.0,3.7,27.0,36.5,1536.0,1100.5,11.05,27.0,50.0,140.85
